Company_Name,Company_Link,ad_cat,Star Rating,Review Text,Review Date,Reviewer Role,Location
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,3.0,The work loaf is unrealistic. It’s never enough . The time frame that is allocated to tasked are unacceptable,Nov 2019,Manager,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,2.0,"Hard to get a full time job there, I’ve been working there for 7 years but still no full time job and that’s why I left.",Nov 2019,Storeperson,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,4.0,Not challenging enough work,Nov 2019,Retail Sales Assistant,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,1.0,Out dated software. Could use with an update.,Nov 2019,Customer Service Role,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,2.0,How demanding the area and divisional managers are,Nov 2019,Assistant Store Manager,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,5.0,Getting all stock done on time,Nov 2019,The reject shop,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,4.0,Dealing with upper management.,Nov 2019,Manager,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,1.0,If you want to meet deadlines and daily tasks as well as having a well presented store to meet company standards you will have very little work life balance and expect to put in long hours. Low number of team members on during the day and expect to be on the registers a lot as a manager. Incoming stock flow is all over the place. Area managers put a lot of tasks on managers but they are under a lot of pressure themselves.,Nov 2019,Manager,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,5.0,Time management was a major challenge,Nov 2019,Retail Sales Assistant,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,3.0,Always trying to do my best,Nov 2019,The reject shop,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,2.0,No work life balance. Unrealistic expectations for the amount of hours they give you to use on staff.,Nov 2019,Store Manager,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,1.0,Management. Felt as though there is no support. Training doesn't exist.,Sep 2019,Retail Sales Assistant,
,https://www.seek.com.au/companies/the-reject-shop-432349,retail,5.0,Limited amount of shifts available,Sep 2019,Cashier,
