Company_Name,Company_Link,ad_cat,Star Rating,Review Text,Review Date,Reviewer Role,Location
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",1.0,No work life balance. No compassion to your personal circumstances,Oct 2015,dry goods manager,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",4.0,"Management, political and relationship may bring stress to work.",Oct 2015,store planner,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",3.0,The lack of flexibility of roster,Oct 2015,Checkout operator,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",5.0,you will face busy challenges but the rewards far out way the the negatives,Oct 2015,Permanent Part Time,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",4.0,"Fast paced, stress",Oct 2015,Customer Service Rep,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",3.0,Ensuring that your whole team understand the importance of compliance and guidelines,Oct 2015,Deli Manager,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",5.0,New learn,Oct 2015,Picker and Packer,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",4.0,You can work as hard as you want and still not get recognized,Oct 2015,Grocery manager,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",5.0,Been on your feet all day.,Oct 2015,Service,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",2.0,new managers every 2-3 years meaning less consistancy,Oct 2015,Checkout Operator,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",5.0,We all have bad days right? Same as our busy bosses and workmates and the same as customers. The challenges for myself as having to deal with bad customers complaining over reducilous thugs such as a item being 5 cents over priced. Or the customer thinking that you know nothing due to you appear young to them but really you know quiet a lot due to your great team teaches you everything!,Oct 2015,Customer Service Assistant,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",3.0,Difficult to change departmental roles and upper management were rather uncooperative with requests.,Oct 2015,Store Assistant,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",4.0,"Customers, Standing for long periods of time and Workload",Oct 2015,Butcher,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",5.0,Getting along with people you work with and getting the one out of ten customers that are having a bad day,Oct 2015,Traineeship,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",2.0,The changes to policies and expectations are frustrating. The greed is overshadowing the corporate citizenship and the employees are suffering. Once was proud to work there but now feel just like a resource.,Oct 2015,Team Member,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",5.0,Making the customers always happy and in store thefts,Oct 2015,Storeman,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",2.0,Lack of resources. No hours for staff.,Oct 2015,Store Manager,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",5.0,Some nights cleaning might need more time but nothing really negative really,Oct 2015,Coles service team Member (Cleaning),
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",4.0,Dealing with customer complaints,Oct 2015,Deli manager,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",4.0,"The management is constantly changing and it is difficult to know what the policy is at any stage. It gets very stressful and repetitive, and dealing with customers so much can be very tiring.",Oct 2015,Cashier/Supervisor,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",3.0,Poor management,Oct 2015,Grocery Manager,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",5.0,"Satisfying select customers when you can't give what they require/ want, meeting different challenges every time plan of attack changes, dealing with customer related issues such as theft with in the store, making sure everyone around you is up to standard in the way the work.",Oct 2015,Grocery Team Member,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",5.0,some time its hard to handle some customers but it happen once in a moon.,Oct 2015,Customer Service Representative,
,https://www.seek.com.au/companies/coles-group-433124,"construction, manu, retail",3.0,Dealing with the public all the time can be stressful,Oct 2015,2IC fruit and veg,
